Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
1338694,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Conch Wall ball #2",24.95306,-80.45833,reported,Approximate,Floridian,32007000.0,2013,2.0,24.0,established,Depth = 55 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339043,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Molasses Reef, M1",25.02044,-80.36293,reported,Approximate,Floridian,32007000.0,2013,8.0,31.0,established,Depth = 30 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339281,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Molasses Reef, M21",25.0108,-80.3745,reported,Approximate,Floridian,32007000.0,2013,2.0,27.0,established,Depth = 30 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339255,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Molasses Reef, M24",25.0167,-80.3755,reported,Approximate,Floridian,32007000.0,2013,3.0,20.0,established,Depth = 30 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339274,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Plantation Key, Conch Wall Ball 1",24.95306,-80.45833,reported,Approximate,Floridian,32007000.0,2013,7.0,28.0,established,Depth = 65 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339248,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Spiegel Grove",25.01055,-80.37278,reported,Accurate,Floridian,32007000.0,2013,9.0,3.0,established,"Depth = 100-130 ft. Habitat = wreck. Fish were collected over 4 days (Sept 3-6, 2013).",Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339287,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, The Gap (dive site)",24.666,-80.97183,reported,Approximate,Floridian,32007000.0,2013,7.0,14.0,established,Depth = 60 ft. See voucher photo.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339293,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Gulf of Mexico, Florida, Panama City Beach, Tarpon (dive site)",30.09503,-85.94258,reported,Approximate,Northern Gulf of Mexico,32004300.0,2013,10.0,27.0,established,Depth = 96 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339397,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Gulf of Mexico, Florida, Panama City Beach, Twin Tugs",29.96872,-85.85457,reported,Approximate,Northern Gulf of Mexico,32004300.0,2013,6.0,15.0,established,Depth = 80-90 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339371,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Gulf of Mexico, Florida, Panama City Beach, USS Strength dive site",30.03227,-85.70689,reported,Accurate,Northern Gulf of Mexico,32004300.0,2013,6.0,8.0,established,Depth = 70-80ft,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
